execution_idx,application,case,version,classpath,package,stacktrace_path,fixed,fixed_version,buggy_frame,p_functional_mocking,functional_mocking_percent,p_reflection_on_private,reflection_start_percent,search_budget,population,p_object_pool,p_model_pool_target_init,p_model_pool_non_target_init,seed_clone,seed_mutations,test_dir,search_algorithm,objectives,secondary_objective
1,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,,,0,0,300,50,,,,,,JarFiles/GGA-tests/LANG-12b,Single_Objective_GGA,IntegrationSingleObjective,BasicBlockCoverage
2,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,,,0,0,300,50,,,,,,JarFiles/GGA-tests/LANG-12b,Single_Objective_GGA,IntegrationSingleObjective,BasicBlockCoverage
3,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,,,0,0,300,50,,,,,,JarFiles/GGA-tests/LANG-12b,Single_Objective_GGA,IntegrationSingleObjective,BasicBlockCoverage
4,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,,,0,0,300,50,,,,,,JarFiles/GGA-tests/LANG-12b,Single_Objective_GGA,IntegrationSingleObjective,BasicBlockCoverage
5,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,,,0,0,300,50,,,,,,JarFiles/GGA-tests/LANG-12b,Single_Objective_GGA,IntegrationSingleObjective,BasicBlockCoverage
6,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,,,0,0,300,50,,,,,,JarFiles/GGA-tests/LANG-12b,Single_Objective_GGA,IntegrationSingleObjective,BasicBlockCoverage
7,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,,,0,0,300,50,,,,,,JarFiles/GGA-tests/LANG-12b,Single_Objective_GGA,IntegrationSingleObjective,BasicBlockCoverage
8,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,,,0,0,300,50,,,,,,JarFiles/GGA-tests/LANG-12b,Single_Objective_GGA,IntegrationSingleObjective,BasicBlockCoverage
9,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,,,0,0,300,50,,,,,,JarFiles/GGA-tests/LANG-12b,Single_Objective_GGA,IntegrationSingleObjective,BasicBlockCoverage
10,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,,,0,0,300,50,,,,,,JarFiles/GGA-tests/LANG-12b,Single_Objective_GGA,IntegrationSingleObjective,BasicBlockCoverage
